Year,Year ending,Offence Division,Offence Subdivision,Offence Subgroup,Offence Count,"Rate per 100,000 population"
2024,March,E Justice procedures offences,E20 Breaches of orders,E22 Breach intervention order,"4,898",70.3
2024,March,E Justice procedures offences,E20 Breaches of orders,E23 Breach bail conditions,"16,992",243.9
2024,March,E Justice procedures offences,E20 Breaches of orders,E29 Breach of other orders,"1,812",26.0
2024,March,F Other offences,F10 Regulatory driving offences,F11 Drink driving,6,0.1
2024,March,F Other offences,F10 Regulatory driving offences,F12 Drug driving,1,0.0
2024,March,F Other offences,F10 Regulatory driving offences,F13 Speeding offences,2,0.0
2024,March,F Other offences,F10 Regulatory driving offences,F15 Licensing offences,9,0.1
2024,March,F Other offences,F10 Regulatory driving offences,F16 Registration and roadworthiness offences,1,0.0
2024,March,F Other offences,F10 Regulatory driving offences,F19 Other regulatory driving offences,21,0.3
2024,March,F Other offences,F20 Transport regulation offences,F21 Public transport,184,2.6
2024,March,F Other offences,F20 Transport regulation offences,F22 Aviation regulations offences,13,0.2
2024,March,F Other offences,F20 Transport regulation offences,F23 Maritime regulations offences,184,2.6
2024,March,F Other offences,F20 Transport regulation offences,F24 Pedestrian offences,10,0.1
2024,March,F Other offences,F20 Transport regulation offences,F29 Other transport regulation offences,464,6.7
2024,March,F Other offences,F30 Other government regulatory offences,F31 Betting and gaming offences,51,0.7
2024,March,F Other offences,F30 Other government regulatory offences,F32 Commercial regulation offences,34,0.5
2024,March,F Other offences,F30 Other government regulatory offences,F33 Liquor and tobacco licensing offences,229,3.3
2024,March,F Other offences,F30 Other government regulatory offences,F34 Pornography and censorship offences,1,0.0
2024,March,F Other offences,F30 Other government regulatory offences,F36 Prostitution offences,10,0.1
2024,March,F Other offences,F30 Other government regulatory offences,F39 Other government regulatory offences,75,1.1
2024,March,F Other offences,F90 Miscellaneous offences,F91 Environmental offences,112,1.6
2024,March,F Other offences,F90 Miscellaneous offences,F92 Public health and safety offences,41,0.6
2024,March,F Other offences,F90 Miscellaneous offences,F93 Cruelty to animals,170,2.4
2024,March,F Other offences,F90 Miscellaneous offences,F94 Dangerous substance offences,83,1.2
2024,March,F Other offences,F90 Miscellaneous offences,F99 Other miscellaneous offences,37,0.5
2023,March,A Crimes against the person,A10 Homicide and related offences,A11 Murder,57,0.8
2023,March,A Crimes against the person,A10 Homicide and related offences,A12 Attempted murder,24,0.4
2023,March,A Crimes against the person,A10 Homicide and related offences,A14 Manslaughter & A13  Accessory/ conspiracy to murder,22,0.3
2023,March,A Crimes against the person,A10 Homicide and related offences,A15 Driving causing death,96,1.4
2023,March,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,"6,798",99.7
2023,March,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,"8,003",117.4
2023,March,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer","2,974",43.6
2023,March,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,"16,441",241.2
2023,March,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,"12,966",190.2
2023,March,A Crimes against the person,A30 Sexual offences,A31 Rape,"4,416",64.8
2023,March,A Crimes against the person,A30 Sexual offences,A32 Indecent assault,"5,969",87.6
2023,March,A Crimes against the person,A30 Sexual offences,A33 Incest,459,6.7
